Brand_ID,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,Z_Carbon_Footprint,Z_Water_Usage,Z_Waste_Production
BRAND-0037,USA,2012,C,Recycled Pol1ter,0,480.24,2518993.55,30367.21,0,7,290.58,Stable,Fair Trade,"16,102,357,771,088,200",0.0007920760175010771,-0.6867670846830014
BRAND-0038,Australia,2022,D,Recycled Pol1ter,1,255.32,4642986.14,63309.79,0,9,218.25,Growing,Fair Trade,0.03503409068230617,"14,872,448,149,417,000",0.4593206479045096
BRAND-0039,USA,2024,C,Hemp,0,478.34,4592843.93,93815.42,0,19,196.25,Declining,B Corp,"1,596,929,342,802,350","1,452,153,343,464,290","1,520,625,752,661,130"
BRAND-0040,Germany,2021,B,Organic Cotton,0,418.25,2416857.95,11371.3,0,2,114.27,Declining,Fair Trade,"11,760,958,493,941,700",-0.07068639480035904,"-13,476,436,590,234,500"
BRAND-0041,UK,2014,A,Tencel,0,124.81,3578456.07,41009.2,0,18,402.16,Stable,GOTS,-0.8789778784423815,0.7422452110501129,-0.3165272859386722
BRAND-0042,USA,2016,D,Hemp,1,295.57,2208679.26,88617.25,1,3,376.93,Declining,GOTS,0.31692039638507746,-0.21637795012548988,"13,397,789,923,617,100"
BRAND-0043,Italy,2011,B,Tencel,1,455.62,2546933.55,53420.11,0,16,378.95,Growing,0ne,"14,378,124,020,429,200",0.02034557621381871,0.11525406516520821
BRAND-0044,Italy,2017,A,Vegan Leather,1,434.37,4485908.7,40551.74,0,18,99.02,Stable,OEKO-TEX,"12,889,904,394,048,200","13,773,159,046,383,000",-0.33244253283644043
BRAND-0045,Italy,2013,B,Recycled Pol1ter,1,315.39,4238166.74,85154.11,1,20,369.89,Growing,Fair Trade,0.4557275163609514,"12,039,364,320,722,200","1,219,294,735,505,290"
BRAND-0046,Japan,2024,D,Tencel,1,202.43,2935889.82,80999.76,0,6,109.46,Stable,B Corp,-0.33537502009085085,0.29255232287824157,"1,074,762,960,159,380"
BRAND-0047,UK,2015,D,Tencel,0,363.8,66938.2,9625.24,1,4,115.71,Stable,0ne,0.7947614557167567,"-17,152,517,596,162,300","-14,083,899,013,141,800"
BRAND-0048,India,2011,B,Organic Cotton,0,382.4,3007645.93,5349.83,1,16,72.76,Growing,0ne,0.9250244441905837,0.3427700433854712,"-1,557,133,410,559,120"
BRAND-0049,India,2016,B,Hemp,0,288.0,2328411.6,76891.7,1,11,101.85,Stable,OEKO-TEX,0.2639047607535252,-0.13258459530460312,0.9318416355171263
BRAND-0050,India,2014,C,Bamboo Fabric,1,38.25,4816032.53,67206.93,1,9,29.63,Declining,0ne,"-1,485,191,011,899,070","16,083,494,184,075,900",0.5949039673098532
BRAND-0051,Brazil,2019,D,Vegan Leather,1,19.12,4247729.83,74281.13,1,16,253.18,Declining,0ne,"-16,191,657,952,057,500","1,210,629,054,913,750",0.841018686857338
BRAND-0052,France,2023,A,Tencel,0,465.37,3438997.67,33956.03,0,20,400.62,Declining,B Corp,"15,060,954,201,945,300",0.6446467911582682,-0.561910361971401
BRAND-0053,Australia,2019,B,Hemp,0,30.6,2436109.9,64445.97,1,8,478.28,Growing,0ne,"-15,387,669,184,487,900",-0.05721313037285397,0.4988488803626619
BRAND-0054,France,2012,C,Bamboo Fabric,1,368.14,1356637.77,24497.25,0,7,256.73,Declining,0ne,0.8251561530273162,-0.8126697698100197,-0.890985732608555
BRAND-0055,UK,2016,C,Vegan Leather,0,58.32,2938317.57,4671.87,1,20,301.97,Growing,OEKO-TEX,"-13,446,330,453,039,200",0.2942513568833099,"-1,580,719,955,364,810"
BRAND-0056,India,2012,D,Tencel,1,317.44,3386658.66,9311.63,0,7,123.3,Declining,B Corp,0.4700844586389808,0.6080179134807425,"-14,193,005,395,767,800"
BRAND-0057,Brazil,2010,B,Tencel,1,63.21,3910771.5,49153.08,0,16,493.69,Declining,0ne,"-13,103,864,854,309,700",0.9748124918569984,-0.03319789996875777
BRAND-0058,Germany,2022,B,Vegan Leather,1,83.24,65384.37,81487.65,1,4,237.95,Stable,OEKO-TEX,"-11,701,086,542,949,000","-17,163,391,903,682,000","10,917,368,809,589,000"
BRAND-0059,UK,2021,B,Vegan Leather,1,168.32,3411667.16,24814.84,1,1,175.79,Growing,Fair Trade,-0.574260532824305,0.6255198358021316,-0.8799366282884784
BRAND-0060,Brazil,2012,B,Recycled Pol1ter,1,134.29,1675918.75,13866.46,1,6,28.54,Declining,GOTS,-0.8125857746395921,-0.5892245047738534,"-1,260,835,878,125,810"
BRAND-0061,Germany,2019,C,Bamboo Fabric,0,176.94,1706304.02,98388.45,1,6,485.58,Growing,Fair Trade,-0.5138913413918109,-0.5679597093941052,"16,797,236,006,060,900"
BRAND-0062,USA,2024,B,Recycled Pol1ter,1,459.57,1262304.83,91860.83,1,16,82.54,Stable,Fair Trade,"1,465,475,778,627,420",-0.878687635264895,"14,526,246,543,489,100"
BRAND-0063,Germany,2021,A,Recycled Pol1ter,1,317.48,3250619.98,14502.18,1,3,261.24,Declining,B Corp,0.4703645940980644,0.51281274683483,"-12,387,188,826,336,400"
BRAND-0064,Japan,2022,C,Recycled Pol1ter,1,118.12,2650618.81,97895.52,0,13,268.21,Stable,Fair Trade,-0.9258305339740968,0.0929085594552378,"16,625,743,358,543,800"
BRAND-0065,USA,2024,B,Recycled Pol1ter,0,448.75,2427744.85,35739.14,0,12,467.6,Growing,OEKO-TEX,"13,896,991,369,453,300",-0.06306731816158709,-0.49987513288934016
BRAND-0066,Italy,2012,D,Bamboo Fabric,1,346.21,4431517.33,93177.22,1,3,328.96,Declining,B Corp,0.6715718875847876,"13,392,507,054,982,500","14,984,224,768,115,400"
BRAND-0067,USA,2013,A,Bamboo Fabric,0,154.05,3150639.7,9542.98,1,20,370.54,Growing,0ne,-0.6741988578523433,0.4428426528975398,"-14,112,517,651,051,400"
BRAND-0068,UK,2018,D,Hemp,0,221.83,3232837.62,97765.16,1,17,187.21,Stable,OEKO-TEX,-0.19950932243535358,0.500367958726348,"16,580,390,506,150,300"
BRAND-0069,China,2016,C,Tencel,1,474.7,1580162.53,22732.05,0,15,326.17,Growing,GOTS,"15,714,370,160,257,500",-0.656238437006088,-0.9523978644319724
BRAND-0070,France,2012,D,Vegan Leather,1,74.32,4110376.09,89038.36,1,6,26.5,Growing,Fair Trade,"-12,325,788,616,705,200","1,114,503,558,061,390","13,544,296,057,948,400"
BRAND-0071,China,2021,C,Tencel,1,394.67,1424293.75,28854.77,1,12,183.08,Stable,Fair Trade,"10,109,559,962,644,400",-0.7653214799670682,-0.7393855781426713
BRAND-0072,India,2013,A,Vegan Leather,0,121.11,1357557.81,69593.07,0,11,194.42,Growing,B Corp,-0.9048904084076053,-0.8120258899846574,0.6779188915275792
BRAND-0073,UK,2017,A,Tencel,1,286.44,1562546.48,7867.05,0,2,459.94,Growing,0ne,0.2529794778492687,-0.6685668348991926,"-14,695,581,519,660,100"
BRAND-0074,USA,2012,C,Tencel,1,51.55,4796819.05,25167.92,0,3,81.26,Growing,0ne,"-13,920,459,717,538,100","15,949,030,767,844,000",-0.8676528103051269
BRAND-0075,India,2017,B,Tencel,0,204.09,1863153.5,26493.93,0,8,416.51,Growing,OEKO-TEX,-0.3237493985388856,-0.45819033437720047,-0.8215203035528212
BRAND-0076,China,2016,A,Recycled Pol1ter,0,169.63,4347329.99,65146.43,0,20,409.91,Declining,0ne,-0.5650860965393204,"12,803,331,260,702,800",0.5232182106691603
BRAND-0077,Australia,2017,C,Recycled Pol1ter,0,347.09,1519014.18,59379.99,1,17,479.21,Declining,0ne,0.6777348676846245,-0.6990324339183822,0.322601071856659
BRAND-0078,Italy,2019,D,Vegan Leather,1,77.71,1880107.35,30899.97,0,4,359.23,Stable,OEKO-TEX,"-1,208,837,381,513,200",-0.44632536983520543,-0.6682321156425277
BRAND-0079,Japan,2023,B,Organic Cotton,1,343.04,2475171.71,27182.05,0,15,216.13,Stable,B Corp,0.6493711524524206,-0.029876154370580416,-0.797580287605433
BRAND-0080,Japan,2023,B,Vegan Leather,0,358.73,1568552.21,78799.16,0,5,240.02,Growing,B Corp,0.7592542862779231,-0.6643637911363425,0.9982030591336549
BRAND-0081,India,2023,A,Recycled Pol1ter,0,218.1,2298435.19,1761.34,1,8,155.15,Declining,0ne,-0.22563195399489003,-0.15356325453223021,"-16,819,786,524,167,000"
BRAND-0082,USA,2022,C,Vegan Leather,1,331.04,2664508.93,84504.49,0,7,183.26,Stable,0ne,0.5653305147273707,0.10262940641826133,"11,966,941,525,259,600"
BRAND-0083,Australia,2024,C,Tencel,1,204.77,1962249.61,35066.22,0,7,319.43,Stable,OEKO-TEX,-0.3189870957344661,-0.3888390170422214,-0.523286333742849
BRAND-0084,Japan,2023,C,Organic Cotton,1,75.48,4650439.21,28599.2,1,2,225.2,Declining,B Corp,"-12,244,549,333,571,000","14,924,607,636,069,900",-0.748276977717853
BRAND-0085,Italy,2011,D,Recycled Pol1ter,0,44.34,2044130.86,2395.39,0,20,282.44,Growing,OEKO-TEX,"-14,425,403,882,536,100",-0.3315353292129539,"-16,599,197,570,039,300"
BRAND-0086,UK,2016,C,Recycled Pol1ter,0,199.92,2488315.29,74339.23,0,4,370.28,Stable,GOTS,-0.3529535201483406,-0.020677765175508192,0.8430400129727583
BRAND-0087,Germany,2012,A,Vegan Leather,1,276.69,2381958.82,66716.0,1,9,132.48,Declining,0ne,0.18469645969766577,-0.09511016521218157,0.5778242834915494
BRAND-0088,Germany,2012,D,Vegan Leather,1,291.79,3203689.5,50000.66,0,17,46.62,Declining,GOTS,0.2904475955016869,0.47996896910063963,-0.003710196200973812
BRAND-0089,Australia,2016,C,Vegan Leather,1,475.14,4548945.26,42811.53,0,9,481.61,Growing,OEKO-TEX,"15,745,185,060,756,700","14,214,313,444,498,600",-0.25382338408658744
BRAND-0090,Australia,2023,D,Vegan Leather,0,152.06,3389499.28,58440.36,0,1,393.27,Declining,GOTS,-0.6881355969417475,0.6100058899921118,0.2899109056289014
BRAND-0091,Italy,2014,B,Tencel,0,264.41,2637824.7,7912.57,0,20,463.65,Growing,OEKO-TEX,0.09869487375903163,0.08395474297718816,"-14,679,744,899,217,100"
BRAND-0092,UK,2021,B,Vegan Leather,0,364.82,2186640.3,5824.14,0,8,462.08,Growing,B Corp,0.8019049099233858,-0.23180167269838306,"-15,406,319,442,974,100"
BRAND-0093,Italy,2010,B,Vegan Leather,1,384.95,3477669.16,24539.14,0,3,436.23,Declining,B Corp,0.9428830797071568,0.6717106060225093,-0.8895283599583834
BRAND-0094,Germany,2021,D,Bamboo Fabric,0,53.16,357792.7,59407.19,0,18,95.64,Declining,B Corp,"-13,807,705,195,256,900","-1,511,700,452,427,620",0.32354737255096966
BRAND-0095,Germany,2010,A,Tencel,1,123.64,4612093.6,56884.63,0,9,158.43,Declining,Fair Trade,-0.8871718406205739,"14,656,250,122,589,900",0.2357863328656761
BRAND-0096,France,2021,C,Vegan Leather,0,347.56,3505851.91,51945.53,0,6,486.69,Declining,GOTS,0.6810264593288559,0.6914339921233601,0.06395273877489836
BRAND-0097,USA,2022,C,Recycled Pol1ter,1,479.65,1363339.6,64472.04,0,17,472.66,Stable,0ne,"16,061,037,790,873,400",-0.8079795681557359,0.49975586782959847
BRAND-0098,France,2014,C,Tencel,0,186.63,2218131.45,98925.73,1,9,135.77,Declining,GOTS,-0.44602852642883317,-0.20976293942324795,"16,984,158,225,560,600"
BRAND-0099,China,2014,B,Organic Cotton,0,252.22,958875.53,53722.85,1,1,29.62,Growing,B Corp,0.013323592603334999,"-10,910,392,772,519,500",0.12578653105475118
BRAND-0100,India,2011,B,Recycled Pol1ter,0,481.39,4906438.37,27322.55,0,5,135.05,Declining,Fair Trade,"1,618,289,671,557,470","16,716,189,463,312,900",-0.7926922270337186
BRAND-0101,Australia,2011,D,Hemp,1,242.61,1934618.84,63190.78,0,1,355.31,Growing,GOTS,-0.05397895144147563,-0.40817610604076854,0.45518023446223393
BRAND-0102,USA,2013,B,Recycled Pol1ter,0,427.13,3641910.27,17326.87,1,6,173.84,Stable,OEKO-TEX,"1,238,285,921,310,700",0.7866529315997615,"-1,140,446,599,243,490"
BRAND-0103,China,2024,A,Bamboo Fabric,1,47.65,1331967.52,18425.04,1,3,135.3,Stable,GOTS,"-14,193,591,790,144,500",-0.8299349716073785,"-1,102,240,752,424,700"
BRAND-0104,China,2020,A,Tencel,0,302.11,1817495.16,33016.78,1,18,384.04,Declining,0ne,0.36272254394522974,-0.4901438189925741,-0.5945873078218117
BRAND-0105,Brazil,2011,A,Hemp,1,360.09,3732137.92,77538.73,0,14,114.86,Declining,Fair Trade,0.7687788918867619,0.8497977552213891,0.9543521111877051
BRAND-0106,Germany,2022,C,Organic Cotton,1,20.73,1272635.13,12883.33,0,3,481.53,Growing,0ne,"-1,607,890,342,977,640",-0.8714580889843647,"-12,950,394,296,551,300"
BRAND-0107,USA,2019,C,Hemp,0,316.7,1408780.91,51791.04,1,16,470.45,Declining,GOTS,0.464901952645936,-0.776177969587163,0.058577959574014814
BRAND-0108,China,2016,D,Vegan Leather,1,63.55,3546692.49,61813.16,1,12,207.52,Growing,Fair Trade,"-1,308,005,334,028,760",0.72001582065048,0.4072521917234077
BRAND-0109,UK,2015,B,Vegan Leather,1,85.0,1954874.74,5549.41,1,16,94.71,Declining,0ne,"-11,577,826,940,952,300",-0.3940002383018069,"-15,501,899,292,146,100"
BRAND-0110,UK,2023,A,Vegan Leather,0,409.37,1329572.99,70682.62,1,15,189.25,Stable,B Corp,"11,139,057,774,776,300",-0.8316107569626071,0.7158248445233892
BRAND-0111,Italy,2023,A,Tencel,0,18.34,1971538.81,49206.09,0,12,210.31,Growing,Fair Trade,"-1,624,628,436,657,880",-0.3823380730900513,-0.03135365732885349
BRAND-0112,India,2017,C,Organic Cotton,0,218.65,916249.72,92679.89,1,16,280.13,Declining,0ne,-0.22178009143249183,"-11,208,704,792,635,200","14,811,201,340,063,400"
BRAND-0113,Japan,2015,B,Organic Cotton,0,471.17,173345.1,95980.3,0,4,477.76,Declining,0ne,"154,671,506,176,164","-16,407,840,667,014,300","1,595,942,938,216,240"
BRAND-0114,France,2011,D,Vegan Leather,1,323.13,1432621.83,25997.5,1,14,239.04,Stable,0ne,0.5099337276936086,-0.7594931652242283,-0.8387913349379896
BRAND-0115,Brazil,2024,D,Tencel,1,419.84,4900485.4,92114.78,1,13,142.88,Growing,Fair Trade,"1,187,231,233,892,730","16,674,528,260,713,200","14,614,596,933,680,300"
BRAND-0116,China,2023,B,Vegan Leather,0,279.42,3242822.34,59473.38,1,6,328.45,Growing,B Corp,0.2038157047801147,0.507355654663362,0.32585015354201413
BRAND-0117,Italy,2022,C,Bamboo Fabric,0,17.89,2958385.59,30934.79,0,15,47.61,Growing,GOTS,"-16,277,799,605,725,700",0.30829573888079403,-0.6670207115919434
BRAND-0118,Italy,2010,C,Organic Cotton,0,357.99,2829885.94,90089.19,0,20,467.22,Declining,0ne,0.7540717802848784,0.21836667905610738,"13,909,884,719,199,300"
BRAND-0119,Germany,2016,C,Hemp,0,178.13,3408139.71,66214.85,0,9,452.99,Growing,Fair Trade,-0.5055573114840768,0.6230511889063726,0.560389041103545
BRAND-0120,India,2024,D,Bamboo Fabric,0,149.42,105902.81,15054.43,0,3,274.49,Stable,OEKO-TEX,-0.7066245372412585,"-16,879,828,079,596,700","-12,195,058,473,971,300"
BRAND-0121,Japan,2016,A,Recycled Pol1ter,0,233.99,2595245.48,41516.78,0,16,145.94,Stable,Fair Trade,-0.11434814287396979,0.054156146462189754,-0.29886834084976993
BRAND-0122,Brazil,2011,B,Hemp,0,359.68,2487675.57,62073.72,0,6,475.94,Growing,B Corp,0.7659075034311562,-0.021125466147075563,0.4163171957274353
BRAND-0123,Japan,2015,B,Hemp,1,261.27,1276598.09,36497.19,0,16,475.28,Growing,0ne,0.07670424022097662,-0.8686846552285307,-0.4735022196054393
BRAND-0124,USA,2023,C,Organic Cotton,1,197.43,3327856.95,1026.38,0,18,478.81,Declining,GOTS,-0.37039195247628826,0.5668661866364758,"-17,075,482,538,244,400"
BRAND-0125,China,2018,A,Bamboo Fabric,0,12.75,2839840.43,70815.72,1,19,134.71,Growing,B Corp,"-1,663,777,367,064,800",0.22533321886173538,0.7204554556415046
BRAND-0126,France,2018,D,Tencel,1,291.47,2972854.6,37791.12,1,9,373.04,Stable,OEKO-TEX,0.288206511829019,0.31842171561220156,-0.42848579102495293
BRAND-0127,UK,2019,C,Hemp,1,125.39,1453757.85,29933.59,0,16,423.58,Growing,OEKO-TEX,-0.8749159142856707,-0.744701355230693,-0.7018529268545798
BRAND-0128,Brazil,2020,B,Vegan Leather,1,147.3,2497654.23,11487.46,0,3,352.8,Growing,OEKO-TEX,-0.7214717165726838,-0.0141420112340838,"-13,436,023,984,112,800"
BRAND-0129,Italy,2024,A,Tencel,1,441.4,3541423.74,84810.02,0,8,227.1,Declining,GOTS,"13,382,242,463,387,400",0.716328544195242,"1,207,323,683,817,600"
BRAND-0130,UK,2019,A,Organic Cotton,0,437.36,4610075.73,55101.57,1,16,256.29,Growing,Fair Trade,"13,099,305,649,713,100","14,642,128,282,417,700",0.17375284330695046
BRAND-0131,Germany,2012,D,Bamboo Fabric,0,394.71,3737612.39,47507.88,1,18,209.74,Declining,Fair Trade,"10,112,361,317,235,300",0.8536290025449302,-0.09043517578786417
BRAND-0132,Germany,2016,B,Recycled Pol1ter,0,54.25,4598900.27,1203.32,0,12,28.53,Stable,Fair Trade,"-13,731,368,282,656,700","14,563,918,060,762,800","-17,013,924,286,460,900"
BRAND-0133,Italy,2015,B,Hemp,0,499.82,4390878.58,75657.34,0,15,269.11,Stable,GOTS,"17,473,620,843,301,900","13,108,101,254,659,200",0.8888976750381135
BRAND-0134,UK,2014,B,Tencel,1,190.42,1482288.75,41553.33,0,8,220.25,Declining,Fair Trade,-0.4194856916806717,-0.7247343202002308,-0.29759674929179003
BRAND-0135,Australia,2010,A,Hemp,0,499.89,4771068.92,84972.17,0,3,29.47,Stable,OEKO-TEX,"17,478,523,213,835,900","1,576,882,132,904,290","12,129,649,579,934,200"
BRAND-0136,India,2016,A,Tencel,0,297.74,1168392.22,9798.28,1,12,138.36,Stable,B Corp,0.3321177450403574,-0.9444113374149202,"-14,023,697,589,559,700"
BRAND-0137,USA,2016,B,Hemp,1,175.32,1797871.37,12358.45,1,8,33.0,Declining,0ne,-0.5252368274846927,-0.5038773115343598,"-13,133,002,498,179,900"
BRAND-0138,Australia,2019,C,Organic Cotton,0,296.75,3925788.39,84842.78,0,17,65.82,Stable,B Corp,0.3251843924280407,0.9853218963510242,"12,084,634,195,067,800"
BRAND-0139,Australia,2022,B,Tencel,0,305.66,2630130.72,43360.72,1,5,328.12,Stable,Fair Trade,0.3875845659388904,0.07857019611102983,-0.23471680767819023
BRAND-0140,Germany,2017,B,Organic Cotton,1,95.73,3643293.99,46696.11,0,12,367.96,Growing,OEKO-TEX,"-10,826,363,571,960,800",0.7876213127483531,-0.11867703294302809
BRAND-0141,Japan,2014,C,Bamboo Fabric,1,445.67,4773997.53,54824.14,1,15,433.47,Growing,Fair Trade,"13,681,287,065,959,000","15,789,316,882,446,600",0.16410092412965002
BRAND-0142,Italy,2019,C,Hemp,1,275.48,2528385.2,18359.11,0,17,119.12,Stable,0ne,0.17622236206039005,0.007364718469854469,"-110,453,448,789,441"
BRAND-0143,India,2022,A,Bamboo Fabric,0,199.17,3373982.21,13320.3,1,9,191.73,Declining,0ne,-0.3582060600061562,0.5991464400532689,"-12,798,370,394,201,000"
BRAND-0144,France,2022,B,Hemp,0,332.24,1819385.59,95549.41,0,6,394.27,Declining,Fair Trade,0.5737345784998756,-0.48882082245083724,"15,809,520,740,187,600"
BRAND-0145,Japan,2014,C,Bamboo Fabric,1,15.44,3331973.79,5114.72,1,9,309.5,Declining,Fair Trade,"-16,449,382,574,414,300",0.5697473116095684,"-15,653,129,971,855,600"
BRAND-0146,Australia,2020,B,Bamboo Fabric,1,164.31,3982288.22,60704.84,0,20,395.41,Declining,GOTS,-0.6023441125974258,"10,248,626,779,185,500",0.36869322166758944
BRAND-0147,China,2010,A,Hemp,1,374.79,581419.83,40911.13,1,4,309.15,Stable,Fair Trade,0.8717286730999482,"-13,551,974,771,106,200",-0.3199391870081955
BRAND-0148,USA,2015,D,Tencel,0,184.92,262604.96,63384.21,0,5,264.94,Growing,OEKO-TEX,-0.45800431730465285,"-15,783,165,402,149,200",0.46190975443651655
BRAND-0149,China,2012,B,Recycled Pol1ter,0,351.17,4076142.85,22978.82,1,14,188.02,Stable,GOTS,0.7063086845111418,"1,090,545,803,406,400",-0.9438126209637735
